City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Aksu,CN,82.42,clear sky,41.12,80.26,Akesu Tianyuan International Hotel
1,Touros,BR,80.6,broken clouds,-5.2,-35.46,Pousada Atlântico
3,Port Elizabeth,ZA,84.2,clear sky,-33.92,25.57,Waterford Hotel
4,Northam,GB,82.4,few clouds,51.03,-4.22,Durrant House Hotel
5,Hyderabad,IN,87.01,haze,17.38,78.47,OYO Imax Inn
7,Atuona,PF,79.72,clear sky,-9.8,-139.03,Pearl Resort
8,Kapaa,US,73.4,heavy intensity rain,22.08,-159.32,Coral Reef Resort
10,Arraial Do Cabo,BR,78.8,clear sky,-22.97,-42.03,Hotel Pousada Varandas ao Mar
11,Luganville,VU,77.72,light rain,-15.53,167.17,Beachfront Resort
12,Dwarka,IN,87.39,clear sky,22.24,68.97,The Dwarika Hotel
13,Guanare,VE,82.24,light rain,9.04,-69.74,Hotel del Este
16,Oussouye,SN,77.0,overcast clouds,12.48,-16.55,Campement la Casamance
17,Vaini,TO,71.6,scattered clouds,-21.2,-175.2,Keleti International Resort
18,Rikitea,PF,72.3,clear sky,-23.12,-134.97,Chez Bianca & Benoit
19,Suwalki,PL,77.09,light rain,54.11,22.93,Velvet
20,Sfantu Gheorghe,RO,77.0,light rain,45.87,25.78,Hotel Park
22,Nacala,MZ,82.4,scattered clouds,-14.54,40.67,Indico Apart Hotel 2
23,Puerto Ayora,EC,72.0,scattered clouds,-0.74,-90.35,Hostal La Mirada De Solitario George
24,Korla,CN,83.08,overcast clouds,41.76,86.15,Silver Star Hotel
25,Hithadhoo,MV,84.67,broken clouds,-0.6,73.08,Pebbles Inn
26,Souillac,MU,73.4,scattered clouds,-20.52,57.52,Hotel SkylineInn
27,Bredasdorp,ZA,73.4,clear sky,-34.53,20.04,Victoria Hotel
28,Grand Gaube,MU,73.0,clear sky,-20.01,57.66,Hotel Lux- Grand Gaube
30,Ponta Do Sol,PT,72.0,scattered clouds,32.67,-17.1,Estalagem Ponta do Sol
31,East London,ZA,78.8,clear sky,-33.02,27.91,Majestic Boutique Hotel
32,Satipo,PE,79.63,overcast clouds,-11.25,-74.64,Hospedaje Henrys
33,Chabahar,IR,87.91,clear sky,25.29,60.64,هتل سپیده
35,Nouadhibou,MR,77.0,clear sky,20.93,-17.03,Hotel valencia
37,San Pedro,PH,86.0,broken clouds,14.35,121.02,Hotel Takara
38,Anloga,GH,87.8,few clouds,5.79,0.9,Hotel de White House
39,Lufkin,US,75.2,broken clouds,31.34,-94.73,Sun-N-Pines Motel
40,Kavieng,PG,83.57,overcast clouds,-2.57,150.8,Kavieng Niu Lodge
